# Posiciones articulares (matriz) del UR5 derecho
# Trial JIGSAWS: Needle_Passing_B001  (3438 frames @ 30 Hz)
# La BASE del UR5 es fija (decision de montaje, no se mueve
# el robot fisico de sitio). La CONFIGURACION ARTICULAR si
# cambia en cada frame: se recalcula para que el trocar
# (tubo rigido) siga la orientacion instantanea del shaft
# del PSM, igual que hace an5_psm_py/carrier_solver.py.
# Fulcro: [0.122141, -0.078964, 0.408424] m
# Distancia al trocar: 0.15 m
# Base del UR5: [0.397392, -0.598679, 0.0] m
# IK del UR5 por frame: OK 100.00 %, error mediana 0.0000 mm, maximo 0.0000 mm
# IK=0 marca frames sin solucion valida (se conserva la
# ultima configuracion valida, como en los archivos de PSM)
#  frame      t(s)   IK     q1(deg)    q2(deg)    q3(deg)    q4(deg)    q5(deg)    q6(deg)
      25    0.8000    1      3.8956   -86.6825  -109.4259    -6.6683   111.8696    17.1208
      26    0.8333    1      3.8835   -86.6938  -109.4312    -6.6307   111.9026    17.1085
      27    0.8667    1      3.8565   -86.7151  -109.4323    -6.5854   111.9763    17.0963
      28    0.9000    1      3.8427   -86.7251  -109.4304    -6.5705   112.0140    17.0932
      29    0.9333    1      3.8211   -86.7410  -109.4279    -6.5461   112.0730    17.0881
      30    0.9667    1      3.8070   -86.7508  -109.4249    -6.5346   112.1115    17.0865
      31    1.0000    1      3.8011   -86.7549  -109.4235    -6.5305   112.1276    17.0861
      32    1.0333    1      3.7936   -86.7597  -109.4208    -6.5284   112.1481    17.0868
      33    1.0667    1      3.7890   -86.7612  -109.4154    -6.5404   112.1605    17.0924
      34    1.1000    1      3.7862   -86.7577  -109.4003    -6.5897   112.1682    17.1122
      35    1.1333    1      3.7865   -86.7533  -109.3891    -6.6295   112.1674    17.1277
      36    1.1667    1      3.7871   -86.7415  -109.3587    -6.7380   112.1656    17.1698
      37    1.2000    1      3.7810   -86.7286  -109.3107    -6.8978   112.1823    17.2333
      38    1.2333    1      3.7768   -86.7220  -109.2835    -6.9867   112.1940    17.2688
      39    1.2667    1      3.7648   -86.7137  -109.2351    -7.1385   112.2266    17.3301
      40    1.3000    1      3.7514   -86.7086  -109.1918    -7.2695   112.2632    17.3836
      41    1.3333    1      3.7497   -86.7032  -109.1730    -7.3326   112.2679    17.4084
      42    1.3667    1      3.7726   -86.6766  -109.1474    -7.4567   112.2053    17.4516
      43    1.4000    1      3.7970   -86.6463  -109.1140    -7.6096   112.1386    17.5057
      44    1.4333    1      3.7930   -86.6350  -109.0721    -7.7488   112.1496    17.5601
      45    1.4667    1      3.7851   -86.6351  -109.0547    -7.7970   112.1711    17.5803
      46    1.5000    1      3.7748   -86.6343  -109.0294    -7.8691   112.1994    17.6101
      47    1.5333    1      3.7681   -86.6305  -109.0030    -7.9502   112.2177    17.6427
      48    1.5667    1      3.7715   -86.6237  -108.9905    -7.9984   112.2084    17.6605
      49    1.6000    1      3.7835   -86.6057  -108.9638    -8.1081   112.1756    17.7001
      50    1.6333    1      3.7944   -86.5893  -108.9390    -8.2094   112.1458    17.7366
      51    1.6667    1      3.7950   -86.5776  -108.9045    -8.3283   112.1442    17.7820
      52    1.7000    1      3.7923   -86.5755  -108.8922    -8.3668   112.1514    17.7972
      53    1.7333    1      3.7786   -86.5833  -108.8843    -8.3737   112.1889    17.8027
      54    1.7667    1      3.7585   -86.6011  -108.8926    -8.3156   112.2439    17.7846
      55    1.8000    1      3.7497   -86.6085  -108.8948    -8.2948   112.2680    17.7785
      56    1.8333    1      3.7310   -86.6212  -108.8905    -8.2822   112.3191    17.7776
      57    1.8667    1      3.7050   -86.6347  -108.8713    -8.3093   112.3903    17.7934
      58    1.9000    1      3.6791   -86.6412  -108.8313    -8.4083   112.4612    17.8367
      59    1.9333    1      3.6696   -86.6401  -108.8054    -8.4827   112.4872    17.8671
      60    1.9667    1      3.6642   -86.6326  -108.7697    -8.5969   112.5019    17.9118
      61    2.0000    1      3.6723   -86.6255  -108.7665    -8.6199   112.4796    17.9188
      62    2.0333    1      3.6778   -86.6224  -108.7699    -8.6165   112.4645    17.9163
      63    2.0667    1      3.6878   -86.6139  -108.7667    -8.6418   112.4374    17.9239
      64    2.1000    1      3.6888   -86.6058  -108.7435    -8.7224   112.4346    17.9543
      65    2.1333    1      3.6860   -86.6032  -108.7290    -8.7676   112.4421    17.9721
      66    2.1667    1      3.6817   -86.5953  -108.6933    -8.8826   112.4540    18.0167
      67    2.2000    1      3.6806   -86.5829  -108.6508    -9.0252   112.4571    18.0710
      68    2.2333    1      3.6739   -86.5768  -108.6145    -9.1385   112.4752    18.1153
      69    2.2667    1      3.6675   -86.5774  -108.6008    -9.1753   112.4929    18.1306
      70    2.3000    1      3.6557   -86.5845  -108.5950    -9.1777   112.5252    18.1340
      71    2.3333    1      3.6510   -86.5914  -108.6064    -9.1325   112.5380    18.1179
      72    2.3667    1      3.6474   -86.5946  -108.6077    -9.1230   112.5480    18.1151
      73    2.4000    1      3.6369   -86.5994  -108.5980    -9.1406   112.5766    18.1240
      74    2.4333    1      3.6291   -86.6037  -108.5925    -9.1477   112.5981    18.1284
      75    2.4667    1      3.6262   -86.6038  -108.5861    -9.1652   112.6059    18.1356
      76    2.5000    1      3.6260   -86.6023  -108.5805    -9.1838   112.6067    18.1427
      77    2.5333    1      3.6197   -86.5988  -108.5533    -9.2666   112.6238    18.1753
      78    2.5667    1      3.6021   -86.6004  -108.5149    -9.3705   112.6722    18.2184
      79    2.6000    1      3.5790   -86.6106  -108.4912    -9.4169   112.7354    18.2409
      80    2.6333    1      3.5697   -86.6167  -108.4885    -9.4127   112.7609    18.2413
      81    2.6667    1      3.5657   -86.6191  -108.4863    -9.4143   112.7718    18.2427
      82    2.7000    1      3.5662   -86.6182  -108.4847    -9.4203   112.7704    18.2449
      83    2.7333    1      3.5659   -86.6182  -108.4840    -9.4224   112.7713    18.2457
      84    2.7667    1      3.5666   -86.6178  -108.4843    -9.4224   112.7694    18.2456
      85    2.8000    1      3.5827   -86.6070  -108.4887    -9.4308   112.7252    18.2453
      86    2.8333    1      3.5927   -86.6005  -108.4918    -9.4348   112.6979    18.2446
      87    2.8667    1      3.6113   -86.5890  -108.5000    -9.4342   112.6467    18.2404
      88    2.9000    1      3.6327   -86.5768  -108.5125    -9.4226   112.5881    18.2314
      89    2.9333    1      3.6442   -86.5689  -108.5150    -9.4309   112.5568    18.2321
      90    2.9667    1      3.6712   -86.5506  -108.5211    -9.4491   112.4826    18.2332
      91    3.0000    1      3.6943   -86.5342  -108.5234    -9.4743   112.4195    18.2378
      92    3.0333    1      3.7149   -86.5194  -108.5250    -9.4985   112.3631    18.2426
      93    3.0667    1      3.7229   -86.5137  -108.5259    -9.5067   112.3412    18.2440
      94    3.1000    1      3.7298   -86.5085  -108.5254    -9.5183   112.3224    18.2470
      95    3.1333    1      3.7312   -86.5076  -108.5261    -9.5180   112.3184    18.2465
      96    3.1667    1      3.7322   -86.5075  -108.5279    -9.5132   112.3158    18.2445
      97    3.2000    1      3.7306   -86.5093  -108.5301    -9.5036   112.3203    18.2413
      98    3.2333    1      3.7293   -86.5114  -108.5338    -9.4894   112.3237    18.2362
      99    3.2667    1      3.7306   -86.5121  -108.5395    -9.4721   112.3203    18.2294
     100    3.3000    1      3.7297   -86.5133  -108.5414    -9.4646   112.3226    18.2268
     101    3.3333    1      3.7310   -86.5121  -108.5405    -9.4695   112.3191    18.2283
     102    3.3667    1      3.7344   -86.5079  -108.5349    -9.4929   112.3098    18.2364
     103    3.4000    1      3.7382   -86.5046  -108.5333    -9.5037   112.2994    18.2397
     104    3.4333    1      3.7397   -86.5029  -108.5311    -9.5134   112.2953    18.2431
     105    3.4667    1      3.7391   -86.5030  -108.5299    -9.5165   112.2970    18.2443
     106    3.5000    1      3.7446   -86.4993  -108.5313    -9.5196   112.2818    18.2444
     107    3.5333    1      3.7506   -86.4953  -108.5328    -9.5231   112.2655    18.2444
     108    3.5667    1      3.7612   -86.4882  -108.5350    -9.5308   112.2366    18.2451
     109    3.6000    1      3.7656   -86.4859  -108.5384    -9.5255   112.2244    18.2422
     110    3.6333    1      3.7655   -86.4862  -108.5391    -9.5230   112.2247    18.2413
     111    3.6667    1      3.7655   -86.4865  -108.5402    -9.5193   112.2248    18.2399
     112    3.7000    1      3.7684   -86.4848  -108.5417    -9.5185   112.2169    18.2390
     113    3.7333    1      3.7689   -86.4847  -108.5424    -9.5168   112.2154    18.2383
     114    3.7667    1      3.7680   -86.4856  -108.5434    -9.5124   112.2178    18.2368
     115    3.8000    1      3.7680   -86.4866  -108.5468    -9.5007   112.2178    18.2324
     116    3.8333    1      3.7713   -86.4854  -108.5509    -9.4919   112.2088    18.2284
     117    3.8667    1      3.7737   -86.4836  -108.5507    -9.4957   112.2024    18.2294
     118    3.9000    1      3.7773   -86.4806  -108.5497    -9.5044   112.1925    18.2319
     119    3.9333    1      3.7800   -86.4793  -108.5519    -9.5008   112.1851    18.2300
     120    3.9667    1      3.7806   -86.4811  -108.5596    -9.4759   112.1836    18.2205
     121    4.0000    1      3.7803   -86.4820  -108.5620    -9.4674   112.1843    18.2173
     122    4.0333    1      3.7830   -86.4810  -108.5651    -9.4607   112.1770    18.2143
     123    4.0667    1      3.7910   -86.4750  -108.5646    -9.4738   112.1551    18.2175
     124    4.1000    1      3.7938   -86.4726  -108.5637    -9.4808   112.1474    18.2196
     125    4.1333    1      3.7963   -86.4703  -108.5621    -9.4898   112.1405    18.2224
     126    4.1667    1      3.7939   -86.4714  -108.5597    -9.4942   112.1473    18.2246
     127    4.2000    1      3.7927   -86.4718  -108.5582    -9.4975   112.1503    18.2261
     128    4.2333    1      3.7911   -86.4734  -108.5595    -9.4910   112.1549    18.2240
     129    4.2667    1      3.7843   -86.4782  -108.5588    -9.4839   112.1734    18.2227
     130    4.3000    1      3.7830   -86.4798  -108.5610    -9.4746   112.1769    18.2195
     131    4.3333    1      3.7851   -86.4784  -108.5618    -9.4750   112.1711    18.2192
     132    4.3667    1      3.7933   -86.4742  -108.5678    -9.4663   112.1488    18.2142
     133    4.4000    1      3.8064   -86.4674  -108.5776    -9.4522   112.1129    18.2062
     134    4.4333    1      3.8148   -86.4631  -108.5838    -9.4432   112.0900    18.2011
     135    4.4667    1      3.8251   -86.4599  -108.5983    -9.4092   112.0619    18.1862
     136    4.5000    1      3.8279   -86.4615  -108.6105    -9.3720   112.0544    18.1716
     137    4.5333    1      3.8314   -86.4641  -108.6279    -9.3187   112.0448    18.1508
     138    4.5667    1      3.8337   -86.4658  -108.6394    -9.2834   112.0384    18.1370
     139    4.6000    1      3.8389   -86.4687  -108.6615    -9.2164   112.0243    18.1106
     140    4.6333    1      3.8421   -86.4653  -108.6584    -9.2315   112.0154    18.1156
     141    4.6667    1      3.8501   -86.4519  -108.6332    -9.3274   111.9936    18.1502
     142    4.7000    1      3.8551   -86.4424  -108.6133    -9.4011   111.9802    18.1771
     143    4.7333    1      3.8733   -86.4157  -108.5679    -9.5789   111.9304    18.2404
     144    4.7667    1      3.9208   -86.3727  -108.5386    -9.7428   111.8009    18.2925
     145    4.8000    1      3.9501   -86.3479  -108.5258    -9.8258   111.7211    18.3179
     146    4.8333    1      4.0331   -86.2837  -108.5095    -9.9939   111.4953    18.3647
     147    4.8667    1      4.1275   -86.2159  -108.5063   -10.1326   111.2390    18.3986
     148    4.9000    1      4.2078   -86.1617  -108.5143   -10.2139   111.0212    18.4141
     149    4.9333    1      4.2377   -86.1418  -108.5179   -10.2421   110.9403    18.4191
     150    4.9667    1      4.2872   -86.1105  -108.5298   -10.2691   110.8061    18.4202
     151    5.0000    1      4.3227   -86.0877  -108.5366   -10.2935   110.7101    18.4230
     152    5.0333    1      4.3441   -86.0743  -108.5416   -10.3053   110.6524    18.4236
     153    5.0667    1      4.3699   -86.0566  -108.5420   -10.3382   110.5825    18.4313
     154    5.1000    1      4.3717   -86.0558  -108.5436   -10.3352   110.5777    18.4298
     155    5.1333    1      4.3801   -86.0526  -108.5532   -10.3150   110.5550    18.4208
     156    5.1667    1      4.3881   -86.0481  -108.5569   -10.3132   110.5336    18.4188
     157    5.2000    1      4.3938   -86.0461  -108.5639   -10.2978   110.5182    18.4120
     158    5.2333    1      4.4245   -86.0331  -108.5940   -10.2401   110.4352    18.3851
     159    5.2667    1      4.4484   -86.0211  -108.6106   -10.2172   110.3707    18.3724
     160    5.3000    1      4.4985   -85.9951  -108.6408   -10.1839   110.2357    18.3514
     161    5.3333    1      4.5732   -85.9579  -108.6915   -10.1157   110.0344    18.3133
     162    5.3667    1      4.6327   -85.9263  -108.7237   -10.0878   109.8744    18.2930
     163    5.4000    1      4.7567   -85.8561  -108.7721   -10.0898   109.5414    18.2737
     164    5.4333    1      4.8855   -85.7861  -108.8304   -10.0643   109.1964    18.2442
     165    5.4667    1      5.0309   -85.7145  -108.9195    -9.9582   108.8076    18.1826
     166    5.5000    1      5.1134   -85.6759  -108.9757    -9.8790   108.5875    18.1409
     167    5.5333    1      5.3032   -85.5922  -109.1184    -9.6518   108.0821    18.0288
     168    5.5667    1      5.5149   -85.5007  -109.2748    -9.4040   107.5205    17.9074
     169    5.6000    1      5.6232   -85.4528  -109.3481    -9.2980   107.2338    17.8537
     170    5.6333    1      5.8293   -85.3625  -109.4836    -9.1071   106.6897    17.7565
     171    5.6667    1      6.0413   -85.2727  -109.6253    -8.8998   106.1318    17.6538
     172    5.7000    1      6.1495   -85.2290  -109.7018    -8.7792   105.8476    17.5963
     173    5.7333    1      6.3717   -85.1498  -109.8872    -8.4360   105.2655    17.4425
     174    5.7667    1      6.6083   -85.0763  -110.1083    -7.9879   104.6479    17.2480
     175    5.8000    1      6.8222   -85.0176  -110.3221    -7.5321   104.0909    17.0531
     176    5.8333    1      6.9165   -84.9967  -110.4279    -7.2908   103.8458    16.9517
     177    5.8667    1      7.0982   -84.9610  -110.6382    -6.8008   103.3745    16.7464
     178    5.9000    1      7.2998   -84.9238  -110.8675    -6.2649   102.8530    16.5216
     179    5.9333    1      7.3952   -84.9089  -110.9795    -5.9969   102.6066    16.4094
     180    5.9667    1      7.5529   -84.8921  -111.1801    -5.4981   102.1999    16.2018
     181    6.0000    1      7.7061   -84.8823  -111.3840    -4.9773   101.8055    15.9854
     182    6.0333    1      7.8523   -84.8819  -111.5935    -4.4228   101.4297    15.7554
     183    6.0667    1      7.9217   -84.8830  -111.6931    -4.1570   101.2515    15.6449
     184    6.1000    1      8.0774   -84.8637  -111.8586    -3.7598   100.8525    15.4767
     185    6.1333    1      8.2453   -84.8129  -111.9613    -3.5951   100.4226    15.4016
     186    6.1667    1      8.3292   -84.7824  -111.9994    -3.5586   100.2083    15.3828
     187    6.2000    1      8.5069   -84.7188  -112.0797    -3.4810    99.7545    15.3433
     188    6.2333    1      8.7353   -84.6471  -112.2007    -3.3143    99.1725    15.2664
     189    6.2667    1      8.9318   -84.6010  -112.3353    -3.0598    98.6729    15.1561
     190    6.3000    1      9.0248   -84.5836  -112.4070    -2.9094    98.4367    15.0919
     191    6.3333    1      9.2188   -84.5478  -112.5538    -2.6028    97.9447    14.9611
     192    6.3667    1      9.4387   -84.5059  -112.7106    -2.2846    97.3880    14.8252
     193    6.4000    1      9.5616   -84.4780  -112.7857    -2.1495    97.0772    14.7670
     194    6.4333    1      9.8190   -84.4157  -112.9290    -1.9129    96.4274    14.6648
     195    6.4667    1     10.0637   -84.3640  -113.0737    -1.6514    95.8108    14.5535
     196    6.5000    1     10.2745   -84.3384  -113.2315    -1.3011    95.2806    14.4066
     197    6.5333    1     10.3870   -84.3304  -113.3244    -1.0801    94.9977    14.3142
     198    6.5667    1     10.6337   -84.3132  -113.5218    -0.6123    94.3786    14.1187
     199    6.6000    1     10.8579   -84.3009  -113.6994    -0.1863    93.8166    13.9407
     200    6.6333    1     10.9424   -84.2948  -113.7616    -0.0413    93.6051    13.8801
     201    6.6667    1     11.0578   -84.2731  -113.8203     0.0597    93.3161    13.8380
     202    6.7000    1     11.1504   -84.2395  -113.8363     0.0253    93.0845    13.8527
     203    6.7333    1     11.2379   -84.2044  -113.8445    -0.0326    92.8658    13.8773
     204    6.7667    1     11.2908   -84.1846  -113.8517    -0.0587    92.7334    13.8885
     205    6.8000    1     11.3988   -84.1503  -113.8769    -0.0718    92.4638    13.8948
     206    6.8333    1     11.4982   -84.1267  -113.9144    -0.0303    92.2154    13.8783
     207    6.8667    1     11.5443   -84.1204  -113.9402     0.0207    92.1005    13.8574
     208    6.9000    1     11.6231   -84.1186  -114.0000     0.1675    91.9038    13.7967
     209    6.9333    1     11.6910   -84.1322  -114.0789     0.3971    91.7343    13.7011
     210    6.9667    1     11.7557   -84.1459  -114.1538     0.6166    91.5730    13.6095
     211    7.0000    1     11.7805   -84.1519  -114.1838     0.7057    91.5111    13.5724
     212    7.0333    1     11.8140   -84.1525  -114.2103     0.7735    91.4278    13.5442
     213    7.0667    1     11.8366   -84.1410  -114.2071     0.7393    91.3713    13.5589
     214    7.1000    1     11.8521   -84.1359  -114.2097     0.7343    91.3328    13.5613
     215    7.1333    1     11.8834   -84.1344  -114.2308     0.7838    91.2545    13.5409
     216    7.1667    1     11.8864   -84.1385  -114.2404     0.8173    91.2472    13.5268
     217    7.2000    1     11.8569   -84.1346  -114.2111     0.7350    91.3206    13.5610
     218    7.2333    1     11.8255   -84.1268  -114.1732     0.6221    91.3990    13.6081
     219    7.2667    1     11.7323   -84.1009  -114.0539     0.2632    91.6314    13.7578
     220    7.3000    1     11.6110   -84.0593  -113.8791    -0.2714    91.9339    13.9804
     221    7.3333    1     11.5541   -84.0315  -113.7790    -0.5866    92.0759    14.1115
     222    7.3667    1     11.4679   -83.9662  -113.5764    -1.2454    92.2911    14.3849
     223    7.4000    1     11.3910   -83.9104  -113.3932    -1.8345    92.4832    14.6282
     224    7.4333    1     11.3406   -83.8871  -113.2978    -2.1282    92.6092    14.7490
     225    7.4667    1     11.2017   -83.8384  -113.0605    -2.8391    92.9562    15.0402
     226    7.5000    1     11.0190   -83.7865  -112.7581    -3.7237    93.4133    15.4003
     227    7.5333    1     10.8159   -83.7379  -112.4212    -4.6906    93.9218    15.7912
     228    7.5667    1     10.7132   -83.7211  -112.2622    -5.1340    94.1791    15.9694
     229    7.6000    1     10.4748   -83.7064  -111.9393    -5.9942    94.7774    16.3133
     230    7.6333    1     10.2087   -83.7118  -111.6159    -6.8145    95.4459    16.6392
     231    7.6667    1     10.0774   -83.7201  -111.4645    -7.1873    95.7763    16.7868
     232    7.7000    1      9.7956   -83.7493  -111.1568    -7.9212    96.4865    17.0765
     233    7.7333    1      9.5008   -83.7980  -110.8720    -8.5578    97.2309    17.3275
     234    7.7667    1      9.2035   -83.8572  -110.5968    -9.1511    97.9835    17.5615
     235    7.8000    1      9.0616   -83.8875  -110.4649    -9.4329    98.3433    17.6726
     236    7.8333    1      8.7776   -83.9527  -110.2024    -9.9854    99.0650    17.8908
     237    7.8667    1      8.4817   -84.0278  -109.9348   -10.5347    99.8188    18.1082
     238    7.9000    1      8.3293   -84.0685  -109.7961   -10.8174   100.2079    18.2203
     239    7.9333    1      8.0537   -84.1470  -109.5500   -11.3082   100.9132    18.4155
     240    7.9667    1      7.7921   -84.2294  -109.3325   -11.7193   101.5845    18.5809
     241    8.0000    1      7.5519   -84.3117  -109.1491   -12.0429   102.2024    18.7135
     242    8.0333    1      7.4516   -84.3485  -109.0794   -12.1559   102.4610    18.7609
     243    8.0667    1      7.2706   -84.4173  -108.9597   -12.3395   102.9285    18.8395
     244    8.1000    1      7.1329   -84.4717  -108.8734   -12.4636   103.2847    18.8940
     245    8.1333    1      7.0241   -84.5157  -108.8076   -12.5541   103.5666    18.9346
     246    8.1667    1      6.9746   -84.5360  -108.7779   -12.5940   103.6950    18.9528
     247    8.2000    1      6.8883   -84.5688  -108.7122   -12.7057   103.9190    19.0000
     248    8.2333    1      6.8121   -84.5971  -108.6482   -12.8223   104.1171    19.0483
     249    8.2667    1      6.7822   -84.6076  -108.6199   -12.8774   104.1948    19.0708
     250    8.3000    1      6.7184   -84.6305  -108.5605   -12.9921   104.3609    19.1177
     251    8.3333    1      6.6485   -84.6583  -108.5079   -13.0795   104.5431    19.1551
     252    8.3667    1      6.6123   -84.6723  -108.4787   -13.1307   104.6373    19.1767
     253    8.4000    1      6.5443   -84.6960  -108.4079   -13.2746   104.8146    19.2347
     254    8.4333    1      6.4666   -84.7237  -108.3280   -13.4355   105.0175    19.2997
     255    8.4667    1      6.4238   -84.7389  -108.2830   -13.5271   105.1293    19.3366
     256    8.5000    1      6.3422   -84.7675  -108.1919   -13.7167   105.3428    19.4124
     257    8.5333    1      6.2708   -84.7921  -108.1082   -13.8942   105.5298    19.4829
     258    8.5667    1      6.2217   -84.8110  -108.0607   -13.9860   105.6583    19.5205
     259    8.6000    1      6.2076   -84.8176  -108.0537   -13.9924   105.6954    19.5242
     260    8.6333    1      6.2035   -84.8207  -108.0587   -13.9732   105.7059    19.5176
     261    8.6667    1      6.2370   -84.8036  -108.0666   -13.9839   105.6183    19.5184
     262    8.7000    1      6.2672   -84.7885  -108.0756   -13.9881   105.5390    19.5171
     263    8.7333    1      6.3411   -84.7527  -108.1031   -13.9815   105.3455    19.5081
     264    8.7667    1      6.4164   -84.7208  -108.1564   -13.8988   105.1487    19.4717
     265    8.8000    1      6.4825   -84.6942  -108.2101   -13.8055   104.9760    19.4324
     266    8.8333    1      6.5126   -84.6821  -108.2338   -13.7652   104.8973    19.4153
     267    8.8667    1      6.5683   -84.6576  -108.2658   -13.7255   104.7521    19.3964
     268    8.9000    1      6.6050   -84.6390  -108.2722   -13.7437   104.6562    19.4000
     269    8.9333    1      6.6159   -84.6332  -108.2721   -13.7549   104.6279    19.4032
     270    8.9667    1      6.6175   -84.6318  -108.2687   -13.7666   104.6238    19.4073
     271    9.0000    1      6.6181   -84.6329  -108.2770   -13.7423   104.6221    19.3985
     272    9.0333    1      6.6173   -84.6352  -108.2881   -13.7084   104.6243    19.3863
     273    9.0667    1      6.6154   -84.6369  -108.2915   -13.6962   104.6293    19.3820
     274    9.1000    1      6.6137   -84.6376  -108.2909   -13.6965   104.6336    19.3823
     275    9.1333    1      6.6116   -84.6385  -108.2895   -13.6984   104.6391    19.3831
     276    9.1667    1      6.6084   -84.6407  -108.2924   -13.6866   104.6474    19.3791
     277    9.2000    1      6.5890   -84.6523  -108.2992   -13.6468   104.6980    19.3662
     278    9.2333    1      6.5541   -84.6709  -108.2978   -13.6154   104.7892    19.3576
     279    9.2667    1      6.5205   -84.6852  -108.2760   -13.6467   104.8767    19.3718
     280    9.3000    1      6.5109   -84.6880  -108.2624   -13.6777   104.9019    19.3838
     281    9.3333    1      6.4980   -84.6892  -108.2292   -13.7640   104.9355    19.4161
     282    9.3667    1      6.4854   -84.6907  -108.1984   -13.8432   104.9685    19.4458
     283    9.4000    1      6.4814   -84.6914  -108.1900   -13.8643   104.9789    19.4537
     284    9.4333    1      6.4766   -84.6917  -108.1766   -13.8994   104.9915    19.4668
     285    9.4667    1      6.4791   -84.6898  -108.1735   -13.9114   104.9849    19.4710
     286    9.5000    1      6.4809   -84.6888  -108.1733   -13.9137   104.9802    19.4716
     287    9.5333    1      6.4854   -84.6867  -108.1752   -13.9126   104.9684    19.4709
     288    9.5667    1      6.4869   -84.6856  -108.1735   -13.9191   104.9646    19.4731
     289    9.6000    1      6.4849   -84.6866  -108.1735   -13.9173   104.9697    19.4726
     290    9.6333    1      6.4848   -84.6867  -108.1737   -13.9165   104.9699    19.4723
     291    9.6667    1      6.4801   -84.6885  -108.1692   -13.9250   104.9823    19.4758
     292    9.7000    1      6.4756   -84.6893  -108.1594   -13.9498   104.9939    19.4851
     293    9.7333    1      6.4781   -84.6877  -108.1581   -13.9563   104.9875    19.4872
     294    9.7667    1      6.4781   -84.6877  -108.1581   -13.9563   104.9875    19.4872
     295    9.8000    1      6.4781   -84.6877  -108.1581   -13.9563   104.9875    19.4872
     296    9.8333    1      6.4771   -84.6882  -108.1577   -13.9563   104.9901    19.4873
     297    9.8667    1      6.4771   -84.6882  -108.1577   -13.9563   104.9901    19.4873
     298    9.9000    1      6.4784   -84.6878  -108.1596   -13.9522   104.9867    19.4857
     299    9.9333    1      6.4786   -84.6877  -108.1600   -13.9512   104.9861    19.4854
     300    9.9667    1      6.4786   -84.6877  -108.1600   -13.9512   104.9861    19.4854
     301   10.0000    1      6.4815   -84.6862  -108.1599   -13.9544   104.9787    19.4863
     302   10.0333    1      6.4818   -84.6863  -108.1613   -13.9503   104.9779    19.4848
     303   10.0667    1      6.4827   -84.6871  -108.1688   -13.9289   104.9756    19.4770
     304   10.1000    1      6.4835   -84.6871  -108.1720   -13.9204   104.9733    19.4738
     305   10.1333    1      6.4859   -84.6862  -108.1738   -13.9171   104.9672    19.4725
     306   10.1667    1      6.4867   -84.6857  -108.1733   -13.9195   104.9650    19.4732
