# Posiciones articulares (matriz) del UR5 derecho
# Trial JIGSAWS: Needle_Passing_B003  (3238 frames @ 30 Hz)
# El UR5 permanece ESTATICO: en JIGSAWS el trocar y la camara
# estan fijos, de modo que el fulcro es constante y la misma
# pose se repite en todos los frames (se incluye una fila por
# frame para alinear con los archivos de PSM).
# Fulcro: [0.110112, -0.04358, 0.422241] m
# Distancia al trocar: 0.15 m
# Base del UR5: [0.472911, -0.421284, 0.0] m
# IK del UR5: OK (0.0008 mm)
#  frame      t(s)     q1(deg)    q2(deg)    q3(deg)    q4(deg)    q5(deg)    q6(deg)
      42    1.3667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      43    1.4000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      44    1.4333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      45    1.4667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      46    1.5000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      47    1.5333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      48    1.5667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      49    1.6000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      50    1.6333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      51    1.6667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      52    1.7000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      53    1.7333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      54    1.7667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      55    1.8000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      56    1.8333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      57    1.8667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      58    1.9000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      59    1.9333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      60    1.9667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      61    2.0000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      62    2.0333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      63    2.0667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      64    2.1000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      65    2.1333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      66    2.1667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      67    2.2000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      68    2.2333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      69    2.2667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      70    2.3000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      71    2.3333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      72    2.3667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      73    2.4000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      74    2.4333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      75    2.4667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      76    2.5000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      77    2.5333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      78    2.5667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      79    2.6000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      80    2.6333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      81    2.6667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      82    2.7000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      83    2.7333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      84    2.7667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      85    2.8000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      86    2.8333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      87    2.8667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      88    2.9000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      89    2.9333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      90    2.9667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      91    3.0000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      92    3.0333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      93    3.0667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      94    3.1000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      95    3.1333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      96    3.1667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      97    3.2000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      98    3.2333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      99    3.2667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     100    3.3000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     101    3.3333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     102    3.3667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     103    3.4000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     104    3.4333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     105    3.4667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     106    3.5000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     107    3.5333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     108    3.5667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     109    3.6000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     110    3.6333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     111    3.6667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     112    3.7000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     113    3.7333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     114    3.7667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     115    3.8000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     116    3.8333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     117    3.8667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     118    3.9000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     119    3.9333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     120    3.9667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     121    4.0000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     122    4.0333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     123    4.0667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     124    4.1000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     125    4.1333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     126    4.1667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     127    4.2000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     128    4.2333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     129    4.2667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     130    4.3000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     131    4.3333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     132    4.3667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     133    4.4000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     134    4.4333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     135    4.4667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     136    4.5000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     137    4.5333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     138    4.5667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     139    4.6000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     140    4.6333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     141    4.6667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     142    4.7000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     143    4.7333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     144    4.7667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     145    4.8000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     146    4.8333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     147    4.8667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     148    4.9000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     149    4.9333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     150    4.9667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     151    5.0000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     152    5.0333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     153    5.0667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     154    5.1000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     155    5.1333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     156    5.1667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     157    5.2000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     158    5.2333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     159    5.2667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     160    5.3000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     161    5.3333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     162    5.3667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     163    5.4000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     164    5.4333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     165    5.4667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     166    5.5000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     167    5.5333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     168    5.5667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     169    5.6000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     170    5.6333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     171    5.6667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     172    5.7000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     173    5.7333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     174    5.7667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     175    5.8000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     176    5.8333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     177    5.8667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     178    5.9000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     179    5.9333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     180    5.9667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     181    6.0000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     182    6.0333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     183    6.0667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     184    6.1000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     185    6.1333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     186    6.1667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     187    6.2000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     188    6.2333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     189    6.2667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     190    6.3000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     191    6.3333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     192    6.3667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     193    6.4000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     194    6.4333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     195    6.4667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     196    6.5000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     197    6.5333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     198    6.5667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     199    6.6000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     200    6.6333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     201    6.6667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     202    6.7000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     203    6.7333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     204    6.7667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     205    6.8000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     206    6.8333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     207    6.8667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     208    6.9000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     209    6.9333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     210    6.9667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     211    7.0000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     212    7.0333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     213    7.0667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     214    7.1000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     215    7.1333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     216    7.1667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     217    7.2000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     218    7.2333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     219    7.2667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     220    7.3000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     221    7.3333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     222    7.3667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     223    7.4000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     224    7.4333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     225    7.4667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     226    7.5000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     227    7.5333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     228    7.5667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     229    7.6000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     230    7.6333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     231    7.6667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     232    7.7000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     233    7.7333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     234    7.7667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     235    7.8000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     236    7.8333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     237    7.8667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     238    7.9000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     239    7.9333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     240    7.9667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     241    8.0000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     242    8.0333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     243    8.0667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     244    8.1000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     245    8.1333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     246    8.1667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     247    8.2000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     248    8.2333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     249    8.2667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     250    8.3000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     251    8.3333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     252    8.3667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     253    8.4000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     254    8.4333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     255    8.4667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     256    8.5000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     257    8.5333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     258    8.5667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     259    8.6000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     260    8.6333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     261    8.6667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     262    8.7000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     263    8.7333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     264    8.7667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     265    8.8000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     266    8.8333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     267    8.8667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     268    8.9000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     269    8.9333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     270    8.9667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     271    9.0000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     272    9.0333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     273    9.0667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     274    9.1000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     275    9.1333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     276    9.1667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     277    9.2000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     278    9.2333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     279    9.2667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     280    9.3000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     281    9.3333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     282    9.3667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     283    9.4000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     284    9.4333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     285    9.4667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     286    9.5000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     287    9.5333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     288    9.5667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     289    9.6000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     290    9.6333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     291    9.6667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     292    9.7000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     293    9.7333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     294    9.7667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     295    9.8000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     296    9.8333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     297    9.8667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     298    9.9000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     299    9.9333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     300    9.9667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     301   10.0000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     302   10.0333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     303   10.0667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     304   10.1000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     305   10.1333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     306   10.1667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     307   10.2000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     308   10.2333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     309   10.2667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     310   10.3000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     311   10.3333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     312   10.3667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     313   10.4000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     314   10.4333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     315   10.4667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     316   10.5000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     317   10.5333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     318   10.5667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     319   10.6000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     320   10.6333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     321   10.6667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     322   10.7000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     323   10.7333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     324   10.7667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     325   10.8000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
     326   10.8333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
