# Posiciones articulares (matriz) del PSM derecho
# Trial JIGSAWS: Needle_Passing_B001  (3438 frames @ 30 Hz)
# q1-q2-q4-q5-q6-q7 en grados; q3 (insercion) en metros
# IK=0 marca frames sin solucion valida (se conserva la
# ultima configuracion valida; en la animacion salen en rojo)
# modo de mapeo del gripper: crudo
# IK OK 100.00 %, error mediana 0.00000 mm, maximo 0.00100 mm, margen minimo 0.2989
#  frame      t(s)  gesto   IK  sat     q1(deg)    q2(deg)      q3(m)    q4(deg)    q5(deg)    q6(deg)    q7(deg)    err(mm)
      20    0.6333      -    1    0    -25.7836    20.2374   0.124249     8.2473   -12.8774   -13.6655     0.0000    0.00003
      21    0.6667      -    1    0    -25.8263    20.2517   0.124340     8.2323   -12.8958   -13.5941     0.0000    0.00006
      22    0.7000      -    1    0    -25.8332    20.2803   0.124350     8.2193   -12.9320   -13.5893     0.0000    0.00002
      23    0.7333      -    1    0    -25.8247    20.3123   0.124315     8.2133   -12.9738   -13.6220     0.0000    0.00004
      24    0.7667      -    1    0    -25.8347    20.3125   0.124261     8.2022   -12.9274   -13.4580     0.0000    0.00006
      25    0.8000      -    1    0    -25.8604    20.3092   0.124151     8.1851   -12.8784   -13.2656     0.0000    0.00011
      26    0.8333      -    1    0    -25.8964    20.2900   0.124044     8.5266   -12.7862   -13.3057     0.0000    0.00012
      27    0.8667      -    1    0    -25.9745    20.2725   0.123951     8.5001   -12.7238   -13.0196     0.0000    0.00027
      28    0.9000      -    1    0    -26.0164    20.3030   0.123937     8.5510   -12.9268   -12.9238     0.0000    0.00016
      29    0.9333      -    1    0    -26.0641    20.3025   0.123897     8.5419   -12.9191   -12.8642     0.0000    0.00006
      30    0.9667      -    1    0    -26.0987    20.3004   0.123845     8.8788   -12.8480   -12.9075     0.0000    0.00008
      31    1.0000      -    1    0    -26.1107    20.3031   0.123823     8.8795   -12.8543   -12.9001     0.0000    0.00001
      32    1.0333      -    1    0    -26.1256    20.3089   0.123772     8.8745   -12.8648   -12.8844     0.0000    0.00002
      33    1.0667      -    1    0    -26.1313    20.3209   0.123751     8.8702   -12.8815   -12.8839     0.0000    0.00001
      34    1.1000      -    1    0    -26.1249    20.3550   0.123769     8.8638   -12.9243   -12.9113     0.0000    0.00002
      35    1.1333      -    1    0    -26.1152    20.3802   0.123787     8.8551   -12.9542   -12.9296     0.0000    0.00001
      36    1.1667      -    1    0    -26.1056    20.4325   0.123817     9.1728   -12.8979   -12.8939     0.0000    0.00017
      37    1.2000      -    1    0    -26.0927    20.5312   0.123812     9.1311   -12.9737   -12.7886     0.0000    0.00020
      38    1.2333      -    1    0    -26.0805    20.5922   0.123813     9.1067   -13.0489   -12.8192     0.0000    0.00007
      39    1.2667      -    1    0    -26.0675    20.7012   0.123797     9.0751   -13.1862   -12.8841     0.0000    0.00022
      40    1.3000      -    1    0    -26.0756    20.7876   0.123771     9.0371   -13.2505   -12.7513     0.0000    0.00017
      41    1.3333      -    1    0    -26.0767    20.8205   0.123747     9.0178   -13.2458   -12.6076     0.0000    0.00006
      42    1.3667      -    1    0    -26.0651    20.8308   0.123607     9.6337   -12.9303   -12.1287     0.0000    0.00000
      43    1.4000      -    1    0    -26.0463    20.9300   0.123551    10.3238   -13.1223   -11.8289     0.0000    0.00000
      44    1.4333      -    1    0    -26.0617    21.1029   0.123583    10.4186   -13.7923   -11.6596     0.0000    0.00000
      45    1.4667      -    1    0    -26.0769    21.1647   0.123573    10.4508   -14.0058   -11.6164     0.0000    0.00015
      46    1.5000      -    1    0    -26.0781    21.2182   0.123550    10.4409   -14.0589   -11.6606     0.0000    0.00006
      47    1.5333      -    1    0    -26.0572    21.2488   0.123516    10.3837   -13.9324   -11.7860     0.0000    0.00011
      48    1.5667      -    1    0    -26.0282    21.2568   0.123448    10.3320   -13.8135   -11.8744     0.0000    0.00008
      49    1.6000      -    1    0    -25.9646    21.2951   0.123296    10.2505   -13.7020   -12.0251     0.0000    0.00024
      50    1.6333      -    1    0    -25.9425    21.3380   0.123171    10.2373   -13.6755   -11.7842     0.0000    0.00016
      51    1.6667      -    1    0    -25.9119    21.4170   0.123128    10.2186   -13.7732   -11.8696     0.0000    0.00016
      52    1.7000      -    1    0    -25.9073    21.4444   0.123134    10.2172   -13.8078   -11.8989     0.0000    0.00002
      53    1.7333      -    1    0    -25.9319    21.4600   0.123158    10.2244   -13.8325   -11.8976     0.0000    0.00001
      54    1.7667      -    1    0    -25.9868    21.4361   0.123223    10.2291   -13.8092   -11.8136     0.0000    0.00008
      55    1.8000      -    1    0    -25.9967    21.4383   0.123264    10.2357   -13.8565   -11.9583     0.0000    0.00004
      56    1.8333      -    1    0    -25.9997    21.4717   0.123343    10.2393   -14.0267   -12.4204     0.0000    0.00040
      57    1.8667      -    1    0    -26.0343    21.5184   0.123359    10.2219   -14.1313   -12.5303     0.0000    0.00009
      58    1.9000      -    1    0    -26.0617    21.6051   0.123310    10.2012   -14.2470   -12.5483     0.0000    0.00018
      59    1.9333      -    1    0    -26.0627    21.6618   0.123297    10.1882   -14.3195   -12.5797     0.0000    0.00006
      60    1.9667      -    1    0    -26.0436    21.7431   0.123246    10.1827   -14.4231   -12.6758     0.0000    0.00016
      61    2.0000      -    1    0    -26.0188    21.7558   0.123129    10.1917   -14.4400   -12.7428     0.0000    0.00007
      62    2.0333      -    1    0    -26.0074    21.7513   0.123061    10.1962   -14.4347   -12.7650     0.0000    0.00002
      63    2.0667      -    1    0    -25.9784    21.7647   0.122917    10.2026   -14.4522   -12.8347     0.0000    0.00009
      64    2.1000      -    1    0    -25.9545    21.8206   0.122795    10.1971   -14.5236   -12.9157     0.0000    0.00017
      65    2.1333      -    1    0    -25.9622    21.8441   0.122729    10.1800   -14.5119   -12.7579     0.0000    0.00007
      66    2.1667      -    1    0    -25.9422    21.9256   0.122643    10.1597   -14.6148   -12.8312     0.0000    0.00020
      67    2.2000      -    1    0    -25.9237    22.0110   0.122604    10.1260   -14.6772   -12.7332     0.0000    0.00017
      68    2.2333      -    1    0    -25.9240    22.0806   0.122594    10.0950   -14.7212   -12.5993     0.0000    0.00012
      69    2.2667      -    1    0    -25.9288    22.1096   0.122597    10.0831   -14.7581   -12.6001     0.0000    0.00002
      70    2.3000      -    1    0    -25.9658    22.1099   0.122620    10.0725   -14.7200   -12.3931     0.0000    0.00008
      71    2.3333      -    1    0    -25.9748    22.0529   0.122650    10.0131   -14.4842   -12.3909     0.0000    0.00017
      72    2.3667      -    1    0    -25.9860    22.0510   0.122678    10.0136   -14.4962   -12.3655     0.0000    0.00000
      73    2.4000      -    1    0    -26.0040    22.0699   0.122736    10.0097   -14.5254   -12.3476     0.0000    0.00002
      74    2.4333      -    1    0    -26.0184    22.0800   0.122767    10.0082   -14.5400   -12.3356     0.0000    0.00001
      75    2.4667      -    1    0    -26.0197    22.0933   0.122788    10.0091   -14.5571   -12.3472     0.0000    0.00000
      76    2.5000      -    1    0    -26.0049    22.0763   0.122784     9.9406   -14.3724   -12.3912     0.0000    0.00012
      77    2.5333      -    1    0    -25.9999    22.1365   0.122819     9.9201   -14.4596   -12.4078     0.0000    0.00007
      78    2.5667      -    1    0    -26.0120    22.2161   0.122917     9.9015   -14.5608   -12.4287     0.0000    0.00015
      79    2.6000      -    1    0    -26.0489    22.2617   0.123023     9.8892   -14.6218   -12.4003     0.0000    0.00010
      80    2.6333      -    1    0    -26.0567    22.2740   0.123083     9.8898   -14.6800   -12.5433     0.0000    0.00005
      81    2.6667      -    1    0    -26.0547    22.2483   0.123116     9.8189   -14.4897   -12.5553     0.0000    0.00012
      82    2.7000      -    1    0    -26.0530    22.2532   0.123125     9.8204   -14.5045   -12.5569     0.0000    0.00000
      83    2.7333      -    1    0    -26.0525    22.2555   0.123113     9.8244   -14.5084   -12.5679     0.0000    0.00000
      84    2.7667      -    1    0    -26.0499    22.2563   0.123078     9.8302   -14.5107   -12.5851     0.0000    0.00000
      85    2.8000      -    1    0    -26.0129    22.2523   0.122989     9.8411   -14.5037   -12.6514     0.0000    0.00007
      86    2.8333      -    1    0    -25.9902    22.2491   0.122928     9.8478   -14.4987   -12.6920     0.0000    0.00003
      87    2.8667      -    1    0    -25.9498    22.2379   0.122815     9.8614   -14.4826   -12.7622     0.0000    0.00010
      88    2.9000      -    1    0    -25.9064    22.2174   0.122700     9.8778   -14.4546   -12.8325     0.0000    0.00011
      89    2.9333      -    1    0    -25.8804    22.2154   0.122649     9.8808   -14.4497   -12.8702     0.0000    0.00003
      90    2.9667      -    1    0    -25.8326    22.1988   0.122573     9.8856   -14.3811   -12.7823     0.0000    0.00011
      91    3.0000      -    1    0    -25.7917    22.1894   0.122519     9.8869   -14.3220   -12.6862     0.0000    0.00008
      92    3.0333      -    1    0    -25.7425    22.1905   0.122489     9.8979   -14.3183   -12.7687     0.0000    0.00006
      93    3.0667      -    1    0    -25.7236    22.1903   0.122473     9.9019   -14.3161   -12.7998     0.0000    0.00001
      94    3.1000      -    1    0    -25.7056    22.1935   0.122456     9.9098   -14.3190   -12.8405     0.0000    0.00002
      95    3.1333      -    1    0    -25.7025    22.1926   0.122441     9.9108   -14.3179   -12.8463     0.0000    0.00000
      96    3.1667      -    1    0    -25.7016    22.1889   0.122436     9.9119   -14.3134   -12.8466     0.0000    0.00000
      97    3.2000      -    1    0    -25.7069    22.1838   0.122444     9.9161   -14.3078   -12.8426     0.0000    0.00000
      98    3.2333      -    1    0    -25.7135    22.1745   0.122475     9.9170   -14.2958   -12.8249     0.0000    0.00000
      99    3.2667      -    1    0    -25.7156    22.1613   0.122501     9.9186   -14.2787   -12.8110     0.0000    0.00000
     100    3.3000      -    1    0    -25.7195    22.1566   0.122515     9.9188   -14.2727   -12.8010     0.0000    0.00000
     101    3.3333      -    1    0    -25.7155    22.1591   0.122507     9.9191   -14.2756   -12.8093     0.0000    0.00000
     102    3.3667      -    1    0    -25.7022    22.1726   0.122483     9.9191   -14.2919   -12.8402     0.0000    0.00002
     103    3.4000      -    1    0    -25.6913    22.1775   0.122463     9.9206   -14.2974   -12.8622     0.0000    0.00001
     104    3.4333      -    1    0    -25.6853    22.1839   0.122425     9.9210   -14.3057   -12.8790     0.0000    0.00001
     105    3.4667      -    1    0    -25.6843    22.1883   0.122368     9.9254   -14.3135   -12.8971     0.0000    0.00001
     106    3.5000      -    1    0    -25.6717    22.1876   0.122308     9.9253   -14.3121   -12.9149     0.0000    0.00002
     107    3.5333      -    1    0    -25.6581    22.1862   0.122279     9.9288   -14.3095   -12.9386     0.0000    0.00001
     108    3.5667      -    1    0    -25.6336    22.1846   0.122233     9.9350   -14.3055   -12.9807     0.0000    0.00003
     109    3.6000      -    1    0    -25.6251    22.1789   0.122194     9.9386   -14.2984   -12.9953     0.0000    0.00001
     110    3.6333      -    1    0    -25.6257    22.1776   0.122180     9.9388   -14.2973   -12.9948     0.0000    0.00000
     111    3.6667      -    1    0    -25.6257    22.1763   0.122155     9.9441   -14.2968   -13.0050     0.0000    0.00000
     112    3.7000      -    1    0    -25.6204    22.1734   0.122150     9.9422   -14.2920   -13.0050     0.0000    0.00000
     113    3.7333      -    1    0    -25.6200    22.1714   0.122164     9.9419   -14.2890   -13.0022     0.0000    0.00000
     114    3.7667      -    1    0    -25.6230    22.1690   0.122172     9.9421   -14.2861   -12.9961     0.0000    0.00000
     115    3.8000      -    1    0    -25.6255    22.1612   0.122184     9.9470   -14.2767   -12.9941     0.0000    0.00000
     116    3.8333      -    1    0    -25.6214    22.1525   0.122184     9.9458   -14.2646   -12.9879     0.0000    0.00000
     117    3.8667      -    1    0    -25.6157    22.1531   0.122191     9.9469   -14.2645   -12.9972     0.0000    0.00000
     118    3.9000      -    1    0    -25.6064    22.1554   0.122214     9.9480   -14.2657   -13.0109     0.0000    0.00000
     119    3.9333      -    1    0    -25.6018    22.1507   0.122220     9.9498   -14.2588   -13.0143     0.0000    0.00000
     120    3.9667      -    1    0    -25.6065    22.1337   0.122231     9.9567   -14.2381   -13.0049     0.0000    0.00001
     121    4.0000      -    1    0    -25.6097    22.1280   0.122233     9.9533   -14.2305   -12.9884     0.0000    0.00000
     122    4.0333      -    1    0    -25.6062    22.1210   0.122252     9.9556   -14.2206   -12.9887     0.0000    0.00000
     123    4.0667      -    1    0    -25.5865    22.1230   0.122269     9.9591   -14.2204   -13.0201     0.0000    0.00001
     124    4.1000      -    1    0    -25.5792    22.1250   0.122284     9.9599   -14.2215   -13.0309     0.0000    0.00000
     125    4.1333      -    1    0    -25.5719    22.1288   0.122291     9.9602   -14.2252   -13.0434     0.0000    0.00000
     126    4.1667      -    1    0    -25.5758    22.1339   0.122285     9.9584   -14.2324   -13.0407     0.0000    0.00000
     127    4.2000      -    1    0    -25.5773    22.1368   0.122289     9.9573   -14.2362   -13.0396     0.0000    0.00000
     128    4.2333      -    1    0    -25.5825    22.1337   0.122291     9.9566   -14.2328   -13.0291     0.0000    0.00000
     129    4.2667      -    1    0    -25.5979    22.1341   0.122304     9.9578   -14.2355   -13.0124     0.0000    0.00000
     130    4.3000      -    1    0    -25.6039    22.1275   0.122341     9.9530   -14.2262   -12.9870     0.0000    0.00000
     131    4.3333      -    1    0    -25.5991    22.1261   0.122353     9.9584   -14.2241   -13.0008     0.0000    0.00000
     132    4.3667      -    1    0    -25.5852    22.1134   0.122367     9.9600   -14.2052   -13.0068     0.0000    0.00001
     133    4.4000      -    1    0    -25.5614    22.0942   0.122360     9.9698   -14.1779   -13.0352     0.0000    0.00002
     134    4.4333      -    1    0    -25.5461    22.0822   0.122349     9.9759   -14.1611   -13.0542     0.0000    0.00001
     135    4.4667      -    1    0    -25.5330    22.0525   0.122325     9.9858   -14.1222   -13.0608     0.0000    0.00003
     136    4.5000      -    1    0    -25.5361    22.0262   0.122320     9.9956   -14.0897   -13.0505     0.0000    0.00002
     137    4.5333      -    1    0    -25.5298    22.0037   0.122307     9.3262   -14.2093   -12.8768     0.0000    0.00000
     138    4.5667      -    1    0    -25.5331    21.9793   0.122289     9.3361   -14.1796   -12.8687     0.0000    0.00002
     139    4.6000      -    1    0    -25.5336    21.9383   0.122280     9.0137   -14.1983   -12.7563     0.0000    0.00005
     140    4.6333      -    1    0    -25.5237    21.9454   0.122292     9.0014   -14.2072   -12.7651     0.0000    0.00000
     141    4.6667      -    1    0    -25.4840    22.0020   0.122310     8.9934   -14.2744   -12.8489     0.0000    0.00009
     142    4.7000      -    1    0    -25.4502    22.0541   0.122307     8.6416   -14.4100   -12.8261     0.0000    0.00028
     143    4.7333      -    1    0    -25.4243    22.1181   0.122204     8.5806   -14.3010   -12.2452     0.0000    0.00000
     144    4.7667      -    1    0    -25.3744    22.1299   0.121989     8.4751   -14.0245   -11.2852     0.0000    0.00000
     145    4.8000      -    1    0    -25.3390    22.1327   0.121885     8.3935   -13.8884   -10.7969     0.0000    0.00000
     146    4.8333      -    1    0    -25.1666    22.1602   0.121733     8.2385   -13.8206   -10.5541     0.0000    0.00080
     147    4.8667      -    1    0    -24.9577    22.2074   0.121639     8.2718   -14.0087   -10.7337     0.0000    0.00092
     148    4.9000      -    1    0    -24.8058    22.2486   0.121552     8.4405   -14.3052   -10.7801     0.0000    0.00000
     149    4.9333      -    1    0    -24.7538    22.2892   0.121515     8.5544   -14.5872   -10.8235     0.0000    0.00028
     150    4.9667      -    1    0    -24.7012    22.3142   0.121398     8.6965   -14.8641   -10.4779     0.0000    0.00000
     151    5.0000      -    1    0    -24.6814    22.3326   0.121328     9.1626   -15.0333   -10.1926     0.0000    0.00000
     152    5.0333      -    1    0    -24.6778    22.3585   0.121314     9.6166   -15.2389   -10.0588     0.0000    0.00000
     153    5.0667      -    1    0    -24.7199    22.4560   0.121329    10.5625   -15.8785    -9.6621     0.0000    0.00000
     154    5.1000      -    1    0    -24.8288    22.5698   0.121375    11.7465   -16.6676    -9.3043     0.0000    0.00000
     155    5.1333      -    1    0    -24.9517    22.6423   0.121365    13.3641   -17.2785    -8.9267     0.0000    0.00000
     156    5.1667      -    1    0    -25.0139    22.6903   0.121371    14.2954   -17.6616    -8.7612     0.0000    0.00000
     157    5.2000      -    1    0    -25.1965    22.8170   0.121444    15.8906   -18.7348    -8.0375     0.0000    0.00000
     158    5.2333      -    1    0    -25.4134    22.9254   0.121582    18.8456   -20.0329    -7.6213     0.0000    0.00001
     159    5.2667      -    1    0    -25.5269    22.9924   0.121699    20.0902   -20.8735    -7.1869     0.0000    0.00000
     160    5.3000      -    1    0    -25.7661    23.1910   0.122096    22.7772   -23.0713    -6.7564     0.0000    0.00001
     161    5.3333      -    1    0    -25.9370    23.2841   0.122453    25.4688   -24.8325    -6.6628     0.0000    0.00001
     162    5.3667      -    1    0    -25.9764    23.3009   0.122610    26.9234   -25.5990    -6.7690     0.0000    0.00000
     163    5.4000      -    1    0    -25.9558    23.3127   0.122895    28.8906   -26.6862    -6.8899     0.0000    0.00000
     164    5.4333      -    1    0    -25.8370    23.2506   0.123087    30.0409   -27.1869    -7.0470     0.0000    0.00000
     165    5.4667      -    1    0    -25.6265    23.0804   0.123201    30.9166   -27.1114    -7.4656     0.0000    0.00000
     166    5.5000     G1    1    0    -25.4752    22.9556   0.123259    30.9893   -26.8639    -7.5924     0.0000    0.00066
     167    5.5333     G1    1    0    -25.1378    22.6416   0.123400    31.2249   -26.2748    -7.9367     0.0000    0.00000
     168    5.5667     G1    1    0    -24.7867    22.3217   0.123514    31.5286   -25.8479    -8.2968     0.0000    0.00000
     169    5.6000     G1    1    0    -24.6288    22.1990   0.123636    31.7386   -25.9033    -8.4709     0.0000    0.00000
     170    5.6333     G1    1    0    -24.3812    22.0306   0.124027    32.3350   -26.5692    -8.8456     0.0000    0.00000
     171    5.6667     G1    1    0    -24.1115    21.8600   0.124470    32.8983   -27.2633    -9.4847     0.0000    0.00000
     172    5.7000     G1    1    0    -23.9455    21.7573   0.124705    33.0688   -27.4760    -9.9985     0.0000    0.00000
     173    5.7333     G1    1    0    -23.5925    21.4078   0.125135    33.1489   -27.2526   -10.6052     0.0000    0.00000
     174    5.7667     G1    1    0    -23.2048    20.9287   0.125518    33.1529   -26.4936   -11.1206     0.0000    0.00000
     175    5.8000     G1    1    0    -22.8923    20.4774   0.126033    33.3181   -25.9619   -11.5823     0.0000    0.00000
     176    5.8333     G1    1    0    -22.7362    20.2510   0.126310    33.3326   -25.6093   -12.0008     0.0000    0.00000
     177    5.8667     G1    1    0    -22.4495    19.8175   0.126808    32.6224   -25.1071   -12.2718     0.0000    0.00000
     178    5.9000     G1    1    0    -22.2375    19.3372   0.127297    32.4714   -24.7968   -11.9893     0.0000    0.00000
     179    5.9333     G1    1    0    -22.1490    19.1394   0.127589    32.3134   -24.9322   -11.9712     0.0000    0.00000
     180    5.9667     G1    1    0    -22.0455    18.8053   0.128127    32.7399   -25.3491   -12.3670     0.0000    0.00000
     181    6.0000     G1    1    0    -21.9423    18.4580   0.128557    32.6441   -25.7160   -12.4509     0.0000    0.00000
     182    6.0333     G1    1    0    -21.8615    18.0532   0.128913    32.4791   -25.7903   -12.1479     0.0000    0.00000
     183    6.0667     G1    1    0    -21.7817    17.8500   0.129095    32.1365   -25.6449   -12.1811     0.0000    0.00000
     184    6.1000     G1    1    0    -21.6138    17.4728   0.129433    32.2079   -25.2374   -12.1346     0.0000    0.00000
     185    6.1333     G1    1    0    -21.3983    17.2705   0.129820    32.1210   -25.3224   -12.0924     0.0000    0.00000
     186    6.1667     G1    1    0    -21.2927    17.2038   0.130076    32.3194   -25.4641   -12.2065     0.0000    0.00076
     187    6.2000     G1    1    0    -21.0714    17.0650   0.130453    32.3643   -25.7887   -12.1302     0.0000    0.00000
     188    6.2333     G1    1    0    -20.8271    16.8116   0.130665    32.7786   -25.9374   -11.7967     0.0000    0.00000
     189    6.2667     G1    1    0    -20.6930    16.6078   0.130947    32.9311   -26.7585   -11.3639     0.0000    0.00000
     190    6.3000     G1    1    0    -20.6346    16.4981   0.131084    33.1660   -27.1464   -11.3544     0.0000    0.00000
     191    6.3333     G1    1    0    -20.4584    16.2100   0.131240    33.4547   -27.3386   -11.2957     0.0000    0.00000
     192    6.3667     G1    1    0    -20.1821    15.8392   0.131373    33.2818   -26.9346   -11.1384     0.0000    0.00000
     193    6.4000     G1    1    0    -20.0051    15.6513   0.131484    33.0146   -26.6600   -11.0259     0.0000    0.00000
     194    6.4333     G1    1    0    -19.6427    15.3061   0.131757    32.6233   -26.3037   -10.9241     0.0000    0.00000
     195    6.4667     G1    1    0    -19.3679    15.0028   0.132146    32.7548   -26.4537   -10.9427     0.0000    0.00000
     196    6.5000     G1    1    0    -19.2016    14.7009   0.132606    32.8162   -26.9187   -10.7060     0.0000    0.00000
     197    6.5333     G1    1    0    -19.0941    14.5166   0.132838    32.9979   -27.0211   -10.9829     0.0000    0.00000
     198    6.5667     G1    1    0    -18.8202    14.0727   0.133209    32.8266   -26.7990   -11.1381     0.0000    0.00000
     199    6.6000     G1    1    0    -18.5951    13.6589   0.133542    32.6460   -26.6057   -10.9504     0.0000    0.00000
     200    6.6333     G1    1    0    -18.5087    13.5167   0.133738    32.3720   -26.6052   -10.7286     0.0000    0.00087
     201    6.6667     G1    1    0    -18.2945    13.3876   0.134131    31.3556   -26.5221   -10.7979     0.0000    0.00000
     202    6.7000     G1    1    0    -18.0493    13.2859   0.134439    30.9221   -25.8743   -11.2869     0.0000    0.00000
     203    6.7333     G1    1    0    -17.8189    13.1701   0.134702    30.0078   -25.0967   -11.0449     0.0000    0.00000
     204    6.7667     G1    1    0    -17.7132    13.1131   0.134871    30.0061   -24.8137   -11.1123     0.0000    0.00046
     205    6.8000     G1    1    0    -17.5271    13.0322   0.135248    29.4451   -24.7401   -10.9729     0.0000    0.00000
     206    6.8333     G1    1    0    -17.3733    12.9144   0.135562    29.2717   -24.5464   -10.9800     0.0000    0.00000
     207    6.8667     G1    1    0    -17.3160    12.8391   0.135705    29.3855   -24.4309   -11.0446     0.0000    0.00028
     208    6.9000     G1    1    0    -17.2158    12.7122   0.135952    29.2704   -24.4350   -11.3452     0.0000    0.00000
     209    6.9333     G1    1    0    -17.1640    12.5512   0.136175    28.9947   -24.4979   -11.3955     0.0000    0.00081
     210    6.9667     G1    1    0    -17.0694    12.4116   0.136120    28.2767   -24.5034   -11.7004     0.0000    0.00000
     211    7.0000     G1    1    0    -17.0711    12.3565   0.136072    28.3149   -24.5966   -11.6291     0.0000    0.00014
     212    7.0333     G1    1    0    -17.0404    12.2935   0.135921    28.3586   -24.5305   -11.6493     0.0000    0.00022
     213    7.0667     G1    1    0    -17.0074    12.3146   0.135831    28.4751   -24.6606   -11.7659     0.0000    0.00009
     214    7.1000     G1    1    0    -16.9745    12.3125   0.135837    28.1401   -24.7009   -11.6585     0.0000    0.00005
     215    7.1333     G1    1    0    -16.9311    12.2606   0.135892    27.8750   -24.6668   -11.5801     0.0000    0.00014
     216    7.1667     G1    1    0    -16.9192    12.2362   0.135884    27.5837   -24.6052   -11.5179     0.0000    0.00016
     217    7.2000     G1    1    0    -16.9208    12.2905   0.135754    27.5386   -24.4620   -11.6277     0.0000    0.00017
     218    7.2333     G1    1    0    -16.9335    12.3884   0.135617    27.5291   -24.5494   -11.7288     0.0000    0.00032
     219    7.2667     G1    1    0    -17.0171    12.6735   0.135184    27.5156   -24.8280   -11.3023     0.0000    0.00000
     220    7.3000     G1    1    0    -17.1281    13.0672   0.134675    27.3697   -25.1723   -10.3392     0.0000    0.00000
     221    7.3333     G1    1    0    -17.1509    13.3029   0.134465    27.2736   -25.4212   -10.1247     0.0000    0.00000
     222    7.3667     G1    1    0    -17.0940    13.7473   0.134008    27.0807   -25.5776   -10.2212     0.0000    0.00000
     223    7.4000     G1    1    0    -17.0571    14.1206   0.133451    26.9838   -25.5522   -10.0448     0.0000    0.00000
     224    7.4333     G1    1    0    -17.0565    14.2960   0.133084    26.8638   -25.3921    -9.7703     0.0000    0.00000
     225    7.4667     G1    1    0    -17.0682    14.7498   0.132142    26.4040   -25.0949    -9.2052     0.0000    0.00000
     226    7.5000     G1    1    0    -17.1297    15.3458   0.131150    25.7016   -25.0176    -8.1964     0.0000    0.00000
     227    7.5333     G1    1    0    -17.1850    16.0612   0.130187    25.0237   -25.3075    -7.7362     0.0000    0.00000
     228    7.5667     G1    1    0    -17.2341    16.3838   0.129688    24.7271   -25.3639    -7.3582     0.0000    0.00000
     229    7.6000     G1    1    0    -17.3958    17.0203   0.128582    24.1065   -25.3395    -6.4097     0.0000    0.00000
     230    7.6333     G1    1    0    -17.5925    17.6440   0.127392    23.3250   -25.1679    -5.5031     0.0000    0.00000
     231    7.6667     G1    1    0    -17.6837    17.9286   0.126805    22.8656   -25.0031    -5.1500     0.0000    0.00000
     232    7.7000     G1    1    0    -17.9189    18.5243   0.125597    21.9420   -24.8344    -4.3429     0.0000    0.00000
     233    7.7333     G1    1    0    -18.2317    19.0730   0.124460    21.1098   -24.7089    -3.2909     0.0000    0.00000
     234    7.7667     G1    1    0    -18.5266    19.6174   0.123304    20.3750   -24.5978    -2.8304     0.0000    0.00000
