# Posiciones articulares (matriz) del PSM derecho
# Trial JIGSAWS: Needle_Passing_B003  (3238 frames @ 30 Hz)
# q1-q2-q4-q5-q6-q7 en grados; q3 (insercion) en metros
# IK=0 marca frames sin solucion valida (se conserva la
# ultima configuracion valida; en la animacion salen en rojo)
# modo de mapeo del gripper: crudo
# IK OK 100.00 %, error mediana 0.00000 mm, maximo 0.00100 mm, margen minimo 0.5193
#  frame      t(s)  gesto   IK  sat     q1(deg)    q2(deg)      q3(m)    q4(deg)    q5(deg)    q6(deg)    q7(deg)    err(mm)
      80    2.6333      -    1    0     -8.8224    -5.9210   0.110231     9.7826   -16.4905     7.4043    21.9720    0.00001
      81    2.6667      -    1    0     -8.8204    -5.9298   0.110224     9.8046   -16.4813     7.3827    21.8130    0.00001
      82    2.7000      -    1    0     -8.8213    -5.9269   0.110234     9.8167   -16.4856     7.3695    21.6165    0.00000
      83    2.7333      -    1    0     -8.8205    -5.9267   0.110234     9.8304   -16.4868     7.3537    21.6258    0.00000
      84    2.7667      -    1    0     -8.8143    -5.9293   0.110222     9.8558   -16.4846     7.3212    21.6446    0.00001
      85    2.8000      -    1    0     -8.8175    -5.9273   0.110229     9.8593   -16.4878     7.3192    21.6633    0.00000
      86    2.8333      -    1    0     -8.8183    -5.9261   0.110233     9.8714   -16.4903     7.3060    21.6820    0.00000
      87    2.8667      -    1    0     -8.8183    -5.9348   0.110237     9.8913   -16.4806     7.2896    21.5697    0.00001
      88    2.9000      -    1    0     -8.8165    -5.9436   0.110244     9.9063   -16.4702     7.2778    21.4762    0.00000
      89    2.9333      -    1    0     -8.8209    -5.9390   0.110249     9.9083   -16.4770     7.2761    21.3452    0.00000
      90    2.9667      -    1    0     -8.8211    -5.9389   0.110248     9.9150   -16.4776     7.2687    21.3358    0.00000
      91    3.0000      -    1    0     -8.8168    -5.9363   0.110243     9.9321   -16.4815     7.2448    21.3920    0.00001
      92    3.0333      -    1    0     -8.8175    -5.9394   0.110244     9.9442   -16.4786     7.2337    21.4106    0.00000
      93    3.0667      -    1    0     -8.8192    -5.9384   0.110247     9.9492   -16.4805     7.2291    21.3826    0.00000
      94    3.1000      -    1    0     -8.8185    -5.9382   0.110247     9.9629   -16.4817     7.2132    21.2329    0.00000
      95    3.1333      -    1    0     -8.8180    -5.9396   0.110255     9.9697   -16.4800     7.2071    21.0645    0.00000
      96    3.1667      -    1    0     -8.8192    -5.9351   0.110256     9.9750   -16.4861     7.1998    21.0177    0.00000
      97    3.2000      -    1    0     -8.8126    -5.9470   0.110254     9.6429   -16.3966     7.2835    20.9896    0.00019
      98    3.2333      -    1    0     -8.8123    -5.9469   0.110254     9.6502   -16.3970     7.2752    20.9896    0.00000
      99    3.2667      -    1    0     -8.8116    -5.9454   0.110260     9.6573   -16.3993     7.2669    20.9148    0.00000
     100    3.3000      -    1    0     -8.8156    -5.9482   0.110263     9.6604   -16.3968     7.2679    20.8774    0.00000
     101    3.3333      -    1    0     -8.8181    -5.9463   0.110269     9.6709   -16.4003     7.2576    20.8400    0.00000
     102    3.3667      -    1    0     -8.8193    -5.9418   0.110271     9.6761   -16.4065     7.2503    20.8587    0.00000
     103    3.4000      -    1    0     -8.8119    -5.9532   0.110270     9.3445   -16.3167     7.3326    20.8680    0.00019
     104    3.4333      -    1    0     -8.8122    -5.9532   0.110269     9.3516   -16.3177     7.3248    20.8680    0.00000
     105    3.4667      -    1    0     -8.8059    -5.9346   0.110258     9.3564   -16.3405     7.3036    20.9803    0.00001
     106    3.5000      -    1    0     -8.8101    -5.9239   0.110258     9.3654   -16.3557     7.2901    21.0364    0.00001
     107    3.5333      -    1    0     -8.8101    -5.9239   0.110258     9.3654   -16.3557     7.2901    21.0458    0.00001
     108    3.5667      -    1    0     -8.8041    -5.9278   0.110254     9.3775   -16.3506     7.2750    21.0458    0.00001
     109    3.6000      -    1    0     -8.8050    -5.9240   0.110256     9.3894   -16.3567     7.2600    21.0552    0.00000
     110    3.6333      -    1    0     -8.8093    -5.9265   0.110258     9.3924   -16.3546     7.2612    21.0364    0.00000
     111    3.6667      -    1    0     -8.8082    -5.9258   0.110259     9.4062   -16.3563     7.2449    21.0271    0.00000
     112    3.7000      -    1    0     -8.8053    -5.9221   0.110259     9.4151   -16.3611     7.2311    21.0364    0.00000
     113    3.7333      -    1    0     -8.8054    -5.9255   0.110261     9.4216   -16.3575     7.2258    21.0645    0.00000
     114    3.7667      -    1    0     -8.8051    -5.9254   0.110261     9.4284   -16.3581     7.2179    21.0926    0.00000
     115    3.8000      -    1    0     -8.8036    -5.9217   0.110260     9.4367   -16.3631     7.2056    21.0832    0.00000
     116    3.8333      -    1    0     -8.7983    -5.9260   0.110271     9.1024   -16.2824     7.2898    21.2516    0.00017
     117    3.8667      -    1    0     -8.8052    -5.9221   0.110285     9.1029   -16.2881     7.2935    21.2890    0.00000
     118    3.9000      -    1    0     -8.8049    -5.9220   0.110285     9.1099   -16.2889     7.2855    21.2797    0.00000
     119    3.9333      -    1    0     -8.8029    -5.9232   0.110281     9.1250   -16.2887     7.2674    21.2890    0.00000
     120    3.9667      -    1    0     -8.8041    -5.9231   0.110279     9.1303   -16.2895     7.2621    21.2890    0.00000
     121    4.0000      -    1    0     -8.8040    -5.9234   0.110279     9.1370   -16.2898     7.2546    21.3077    0.00000
     122    4.0333      -    1    0     -8.8028    -5.9183   0.110283     9.1442   -16.2963     7.2437    21.3077    0.00000
     123    4.0667      -    1    0     -8.8026    -5.9241   0.110285     9.1642   -16.2907     7.2249    21.2422    0.00001
     124    4.1000      -    1    0     -8.8042    -5.9249   0.110284     9.1637   -16.2902     7.2266    21.1767    0.00000
     125    4.1333      -    1    0     -8.7990    -5.9198   0.110286     9.1801   -16.2966     7.2028    21.0364    0.00001
     126    4.1667      -    1    0     -8.7967    -5.9203   0.110282     9.2019   -16.2977     7.1767    21.0177    0.00001
     127    4.2000      -    1    0     -8.7969    -5.9177   0.110280     9.2008   -16.3010     7.1760    21.0271    0.00000
     128    4.2333      -    1    0     -8.7953    -5.9160   0.110273     9.2158   -16.3046     7.1562    21.2048    0.00001
     129    4.2667      -    1    0     -8.7890    -5.9219   0.110263     9.2412   -16.2986     7.1258    21.3358    0.00001
     130    4.3000      -    1    0     -8.7850    -5.9237   0.110256     9.2513   -16.2967     7.1119    21.3077    0.00000
     131    4.3333      -    1    0     -8.7887    -5.9243   0.110264     9.2546   -16.2965     7.1123    21.2142    0.00000
     132    4.3667      -    1    0     -8.7899    -5.9279   0.110264     9.2731   -16.2940     7.0943    21.1955    0.00000
     133    4.4000      -    1    0     -8.7833    -5.9240   0.110263     9.2920   -16.2991     7.0668    21.2422    0.00001
     134    4.4333      -    1    0     -8.7860    -5.9235   0.110263     9.3022   -16.3013     7.0569    21.3171    0.00000
     135    4.4667      -    1    0     -8.7892    -5.9228   0.110265     9.3123   -16.3037     7.0474    21.3920    0.00000
     136    4.5000      -    1    0     -8.7854    -5.9232   0.110262     9.3358   -16.3045     7.0186    21.4387    0.00001
     137    4.5333      -    1    0     -8.7796    -5.9249   0.110256     9.3533   -16.3030     6.9953    21.5697    0.00001
     138    4.5667      -    1    0     -8.7813    -5.9235   0.110259     9.3517   -16.3047     6.9981    21.5791    0.00000
     139    4.6000      -    1    0     -8.7896    -5.9202   0.110272     9.3634   -16.3112     6.9897    21.5229    0.00000
     140    4.6333      -    1    0     -8.7848    -5.9200   0.110270     9.3873   -16.3126     6.9598    21.5136    0.00001
     141    4.6667      -    1    0     -8.7839    -5.9164   0.110268     9.3943   -16.3174     6.9492    21.5136    0.00000
     142    4.7000      -    1    0     -8.7853    -5.9171   0.110266     9.4060   -16.3182     6.9369    21.5417    0.00000
     143    4.7333      -    1    0     -8.7845    -5.9168   0.110266     9.4197   -16.3195     6.9210    21.5697    0.00000
     144    4.7667      -    1    0     -8.7835    -5.9151   0.110271     9.4334   -16.3223     6.9048    21.5603    0.00000
     145    4.8000      -    1    0     -8.7831    -5.9150   0.110271     9.4402   -16.3230     6.8969    21.5510    0.00000
     146    4.8333      -    1    0     -8.7720    -5.9203   0.110264     9.1210   -16.2441     6.9659    21.6352    0.00016
     147    4.8667      -    1    0     -8.7693    -5.9215   0.110261     9.1273   -16.2425     6.9492    21.7755    0.00000
     148    4.9000      -    1    0     -8.7688    -5.9183   0.110259     9.1343   -16.2471     6.9390    21.8598    0.00000
     149    4.9333      -    1    0     -8.7846    -5.9220   0.110258     9.1377   -16.2052     7.1159    21.9159    0.00006
     150    4.9667      -    1    0     -8.7843    -5.9190   0.110257     9.1379   -16.2094     7.1126    21.8504    0.00000
     151    5.0000      -    1    0     -8.7835    -5.9218   0.110259     9.1458   -16.2063     7.1052    21.8410    0.00000
     152    5.0333      -    1    0     -8.7817    -5.9213   0.110261     9.1466   -16.2065     7.1032    21.8410    0.00000
     153    5.0667      -    1    0     -8.7864    -5.9196   0.110267     9.1551   -16.2102     7.0964    21.8036    0.00000
     154    5.1000      -    1    0     -8.7846    -5.9204   0.110275     9.1701   -16.2098     7.0803    21.7568    0.00000
     155    5.1333      -    1    0     -8.7877    -5.9166   0.110275     9.1670   -16.2148     7.0836    21.7568    0.00000
     156    5.1667      -    1    0     -8.7772    -5.9269   0.110278     8.8388   -16.1273     7.1591    21.7475    0.00018
     157    5.2000      -    1    0     -8.7788    -5.9279   0.110274     8.8508   -16.1278     7.1465    21.7568    0.00000
     158    5.2333      -    1    0     -8.7763    -5.9237   0.110276     8.8531   -16.1325     7.1406    21.7568    0.00000
     159    5.2667      -    1    0     -8.7761    -5.9269   0.110277     8.8664   -16.1298     7.1274    21.7568    0.00000
     160    5.3000      -    1    0     -8.7753    -5.9267   0.110277     8.8800   -16.1313     7.1116    21.7662    0.00000
     161    5.3333      -    1    0     -8.7749    -5.9247   0.110282     8.8869   -16.1340     7.1035    21.7475    0.00000
     162    5.3667      -    1    0     -8.7741    -5.9216   0.110281     8.8872   -16.1378     7.1007    21.7381    0.00000
     163    5.4000      -    1    0     -8.7734    -5.9239   0.110282     8.9073   -16.1366     7.0793    21.6632    0.00001
     164    5.4333      -    1    0     -8.7752    -5.9247   0.110280     8.9123   -16.1366     7.0748    21.3920    0.00000
     165    5.4667      -    1    0     -8.7780    -5.9225   0.110287     8.9225   -16.1407     7.0650    21.3451    0.00000
     166    5.5000      -    1    0     -8.7809    -5.9206   0.110294     8.9261   -16.1436     7.0627    21.3545    0.00000
     167    5.5333      -    1    0     -8.7822    -5.9195   0.110297     8.9379   -16.1463     7.0501    21.3451    0.00000
     168    5.5667      -    1    0     -8.7769    -5.9150   0.110287     8.9552   -16.1530     7.0233    21.3265    0.00001
     169    5.6000      -    1    0     -8.7783    -5.9135   0.110290     8.9603   -16.1554     7.0183    21.3265    0.00000
     170    5.6333      -    1    0     -8.7954    -5.9235   0.110284     8.9698   -16.1063     7.1906    21.3452    0.00006
     171    5.6667      -    1    0     -8.7919    -5.9185   0.110286     8.9723   -16.1118     7.1830    21.3733    0.00000
     172    5.7000      -    1    0     -8.7902    -5.9060   0.110280     8.9729   -16.1276     7.1732    21.4574    0.00001
     173    5.7333      -    1    0     -8.7902    -5.9014   0.110271     8.9729   -16.1338     7.1692    21.6072    0.00000
     174    5.7667      -    1    0     -8.7784    -5.9034   0.110261     8.9900   -16.1306     7.1426    22.1030    0.00001
     175    5.8000      -    1    0     -8.7705    -5.9057   0.110252     9.0036   -16.1278     7.1224    22.3649    0.00001
     176    5.8333      -    1    0     -8.7579    -5.9078   0.110247     8.6639   -16.0488     7.2030    22.5053    0.00017
     177    5.8667      -    1    0     -8.7717    -5.9101   0.110241     8.6699   -16.0075     7.3730    22.7860    0.00006
     178    5.9000      -    1    0     -8.7834    -5.9073   0.110229     8.6710   -15.9718     7.5433    22.7860    0.00006
     179    5.9333      -    1    0     -8.7824    -5.9007   0.110225     8.6782   -15.9808     7.5305    22.6550    0.00000
     180    5.9667      -    1    0     -8.7993    -5.9031   0.110221     8.6876   -15.9396     7.7011    22.6644    0.00006
     181    6.0000      -    1    0     -8.7955    -5.9049   0.110214     8.6911   -15.9379     7.6924    22.6269    0.00000
     182    6.0333      -    1    0     -8.7935    -5.9091   0.110212     8.6995   -15.9331     7.6838    22.6269    0.00000
     183    6.0667      -    1    0     -8.7926    -5.9055   0.110210     8.7065   -15.9382     7.6733    22.8047    0.00000
     184    6.1000      -    1    0     -8.7849    -5.8984   0.110194     8.7321   -15.9487     7.6334    23.2444    0.00001
     185    6.1333      -    1    0     -8.7896    -5.9023   0.110169     8.7465   -15.9050     7.7866    23.5064    0.00005
     186    6.1667      -    1    0     -8.7937    -5.9039   0.110142     8.7613   -15.8636     7.9400    23.6748    0.00005
     187    6.2000      -    1    0     -8.7778    -5.8859   0.110076     8.7858   -15.8465     8.0485    23.8619    0.00004
     188    6.2333      -    1    0     -8.7819    -5.8833   0.110012     8.8125   -15.7715     8.3470    24.0771    0.00016
     189    6.2667      -    1    0     -8.7467    -5.8788   0.109936     8.8435   -15.7768     8.2749    24.1519    0.00007
     190    6.3000      -    1    0     -8.7237    -5.8840   0.109888     8.8705   -15.7701     8.2261    24.1519    0.00004
     191    6.3333      -    1    0     -8.6927    -5.9078   0.109798     8.5764   -15.6186     8.4144    24.0677    0.00000
     192    6.3667      -    1    0     -8.6488    -5.9110   0.109634     8.6402   -15.5330     8.6304    24.1426    0.00023
     193    6.4000      -    1    0     -8.6491    -5.9203   0.109522     8.6841   -15.4012     9.0766    24.1426    0.00038
     194    6.4333      -    1    0     -8.6105    -5.8993   0.109221     8.3751   -15.0897    10.0628    23.9461    0.00000
     195    6.4667      -    1    0     -8.4758    -5.7502   0.108831     8.0307   -15.0913    10.2639    23.6093    0.00000
     196    6.5000      -    1    0     -8.3096    -5.5480   0.108393     7.8019   -15.2115    10.1167    23.1602    0.00000
     197    6.5333      -    1    0     -8.2309    -5.4798   0.108142     7.9114   -15.2153    10.2088    22.9169    0.00050
     198    6.5667      -    1    0     -8.0805    -5.4829   0.107616     7.0988   -14.5723    11.4240    22.1872    0.00000
     199    6.6000      -    1    0     -7.9688    -5.4981   0.107206     6.4635   -14.0149    12.6148    20.8961    0.00000
     200    6.6333      -    1    0     -7.9194    -5.4947   0.107069     6.0977   -13.8092    13.0198    20.4002    0.00000
     201    6.6667      -    1    0     -7.7786    -5.4422   0.106828     5.7646   -13.7621    12.9402    20.0821    0.00000
     202    6.7000      -    1    0     -7.6608    -5.4062   0.106615     5.2469   -13.6115    12.7938    19.9325    0.00000
     203    6.7333      -    1    0     -7.6082    -5.2655   0.106487     4.6303   -13.5896    12.7665    19.5675    0.00000
     204    6.7667      -    1    0     -7.5797    -5.1557   0.106414     3.9988   -13.5320    12.8244    19.4553    0.00021
     205    6.8000      -    1    0     -7.5265    -4.8446   0.106253     3.3561   -13.7335    12.7448    19.2120    0.00000
     206    6.8333      -    1    0     -7.4784    -4.4966   0.106026     2.9650   -13.9313    12.5389    18.5384    0.00000
     207    6.8667      -    1    0     -7.4593    -4.3586   0.105905     2.5952   -13.8685    12.4841    18.0426    0.00035
     208    6.9000      -    1    0     -7.4345    -4.1054   0.105657     1.5237   -13.7357    12.5183    16.7140    0.00000
     209    6.9333      -    1    0     -7.4195    -3.9370   0.105424     0.1565   -13.4130    12.6764    15.4790    0.00000
     210    6.9667      -    1    0     -7.3970    -3.8228   0.105198    -0.5931   -13.1389    12.6429    13.8792    0.00000
     211    7.0000      -    1    0     -7.3632    -3.8207   0.105055    -1.2918   -12.7239    12.6283    13.0372    0.00000
     212    7.0333      -    1    0     -7.2759    -3.8153   0.104718    -2.7550   -11.7072    12.4727    11.5870    0.00000
     213    7.0667      -    1    0     -7.1762    -3.8632   0.104314    -4.5567   -10.1686    12.1200     9.0703    0.00000
     214    7.1000      -    1    0     -7.1417    -3.8784   0.104110    -5.1721    -9.4369    11.8693     6.7407    0.00000
     215    7.1333      -    1    0     -7.0864    -3.9384   0.103704    -6.6209    -7.7347    11.3174     2.3341    0.00000
     216    7.1667      -    1    0     -7.0118    -3.9586   0.103303    -8.2113    -6.0503    10.5618     1.0149    0.00000
     217    7.2000      -    1    0     -6.9765    -3.9251   0.103116    -8.5948    -5.3793    10.0738     0.7903    0.00000
     218    7.2333      -    1    0     -6.9351    -3.7647   0.102770    -9.7774    -4.2255     9.1639     0.7155    0.00000
     219    7.2667      -    1    0     -6.9198    -3.5732   0.102380   -10.6768    -3.0125     8.3672     0.7248    0.00000
     220    7.3000      -    1    0     -6.9315    -3.3356   0.101990   -11.5303    -1.8964     7.8095     0.6687    0.00000
     221    7.3333      -    1    0     -6.9431    -3.1699   0.101810   -11.9331    -1.5145     7.4721     0.5658    0.00000
     222    7.3667      -    1    0     -6.9983    -2.8757   0.101533   -12.9133    -0.8200     6.8672     0.2664    0.00000
     223    7.4000      -    1    0     -7.0061    -2.5749   0.101264   -13.4937    -0.5140     5.9925     0.2945    0.00000
     224    7.4333      -    1    0     -7.0236    -2.4694   0.101139   -13.7461    -0.2810     5.6747     0.3506    0.00000
     225    7.4667      -    1    0     -7.0766    -2.2798   0.100899   -14.1146     0.0642     5.2584     0.7248    0.00000
     226    7.5000      -    1    0     -7.0974    -2.0766   0.100634   -14.3561     0.2822     4.9382     1.0616    0.00000
     227    7.5333      -    1    0     -7.0642    -1.7677   0.100411   -14.9231     0.2112     4.5044     1.2956    0.00000
     228    7.5667      -    1    0     -7.0550    -1.5878   0.100297   -15.0485     0.2161     4.3111     1.3236    0.00067
     229    7.6000      -    1    0     -6.9652    -1.1074   0.100067   -15.4066    -0.1721     3.4802     1.1178    0.00000
     230    7.6333      -    1    0     -6.7995    -0.6565   0.099819   -15.9339    -0.5119     2.0703     0.0000    0.00000
     231    7.6667      -    1    0     -6.7180    -0.4567   0.099710   -16.2721    -0.6076     1.2567     0.0000    0.00000
     232    7.7000      -    1    0     -6.6508    -0.0830   0.099564   -16.9847    -0.6072    -0.0114     0.0000    0.00000
     233    7.7333      -    1    0     -6.6488     0.2385   0.099501   -17.8038    -0.3242    -1.2956     0.0000    0.00000
     234    7.7667      -    1    0     -6.6541     0.5754   0.099521   -18.7655    -0.0141    -2.9135     0.0000    0.00000
     235    7.8000      -    1    0     -6.6804     0.7116   0.099551   -19.2897     0.3001    -3.7101     0.0000    0.00000
